Budget,Team_Size,Timeline,Priority,Domain,Risk
384076,11,11,Medium,Finance,Low
856321,8,13,Low,Retail,Low
899213,24,8,Medium,E-Commerce,Low
874483,17,11,High,Finance,Low
973074,8,12,Medium,Agriculture,Low
288158,11,3,Medium,Logistics,Low
147726,3,20,High,Education,High
768854,17,6,Low,Manufacturing,Low
398151,17,18,Critical,Agriculture,Medium
293319,3,11,Critical,Finance,High
962050,4,15,Critical,Finance,High
705050,22,24,Low,Education,Low
256445,20,12,Low,E-Commerce,Low
224205,19,16,Medium,Retail,Medium
498855,16,17,High,Manufacturing,Medium
549660,11,21,Low,Manufacturing,Low
876039,5,9,Medium,Logistics,Low
792509,4,8,Medium,Education,Low
678805,4,8,Low,AI,Low
572387,24,22,Critical,Logistics,Medium
134225,9,12,High,Cybersecurity,Medium
174637,23,10,High,Manufacturing,Medium
793300,8,16,Low,Retail,Low
335729,22,7,High,Education,Low
174878,3,8,High,Manufacturing,High
885339,20,12,Critical,Finance,Low
591465,24,12,Critical,Logistics,Low
624783,19,18,Critical,Finance,Medium
727086,3,16,High,Manufacturing,Medium
362529,2,5,Medium,Manufacturing,Medium
715643,2,24,High,Manufacturing,High
142185,7,18,Critical,Logistics,High
290305,20,16,Critical,Finance,High
592841,13,16,High,Agriculture,Low
802685,5,8,High,AI,Low
827369,17,12,Critical,Retail,Low
138479,16,5,High,Logistics,Medium
438977,5,15,Low,Retail,Medium
584417,15,4,Medium,Retail,Low
479353,21,18,Critical,Healthcare,Medium
313446,10,20,Medium,Logistics,Medium
559398,24,18,Low,Healthcare,Low
760626,21,10,Medium,Logistics,Low
677596,2,20,Critical,Finance,High
335615,5,17,Low,Education,Medium
622584,24,12,High,AI,Low
975271,17,18,Medium,Cybersecurity,Low
678043,6,15,Medium,Manufacturing,Low
632929,25,7,Low,Logistics,Low
910208,15,13,High,Healthcare,Low
396578,25,12,Critical,Education,Medium
568238,19,18,High,Agriculture,Low
678727,19,15,Critical,Agriculture,Medium
297816,24,10,Critical,E-Commerce,Medium
997594,15,4,High,Cybersecurity,Low
839485,14,15,Medium,Cybersecurity,Low
138817,6,19,High,Finance,High
986088,16,6,Critical,Healthcare,Low
857537,6,16,Medium,Finance,Low
592296,10,13,Critical,Finance,Medium
993140,12,24,Critical,Agriculture,Medium
757246,24,18,Low,Manufacturing,Low
171744,9,23,High,E-Commerce,High
883041,4,16,Low,Finance,Medium
565230,7,12,Low,Healthcare,Low
440131,3,12,High,Agriculture,Medium
551607,6,10,Critical,Manufacturing,Medium
814919,7,8,Medium,Finance,Low
739098,14,22,Medium,Cybersecurity,Low
711484,6,10,Critical,Logistics,Medium
581894,10,24,Low,Cybersecurity,Low
401603,23,20,Medium,Finance,Medium
563187,13,21,High,AI,Medium
823846,10,17,High,E-Commerce,Low
503380,17,6,Medium,AI,Low
699704,13,21,High,Logistics,Medium
123005,23,15,High,Healthcare,Medium
693419,23,4,Critical,Logistics,Low
913423,9,22,High,E-Commerce,Medium
767542,8,22,High,Education,Medium
758765,5,23,Low,Logistics,Medium
926918,16,4,High,Education,Low
194511,11,13,Critical,Education,High
310548,6,20,High,Retail,High
626169,10,8,High,Cybersecurity,Low
945664,11,13,Low,Cybersecurity,Low
178957,6,10,Critical,Retail,High
483542,4,15,Low,Logistics,Medium
662636,5,17,High,Logistics,Medium
712955,14,23,High,Finance,Medium
807617,9,18,Low,Manufacturing,Low
688678,12,22,Medium,Finance,Low
766269,16,12,Critical,Finance,Low
246566,3,4,High,Cybersecurity,High
221761,5,10,Medium,AI,Medium
575679,13,24,Critical,Manufacturing,Medium
878325,25,7,Critical,Finance,Low
974190,17,22,Critical,Logistics,Medium
134305,24,14,Medium,Cybersecurity,Medium
566297,9,14,Low,Agriculture,Low
670913,22,14,Low,AI,Low
389282,8,6,Critical,Finance,Medium
794963,8,23,Low,Healthcare,Low
925013,12,10,Medium,Manufacturing,Low
315173,4,20,Medium,Manufacturing,High
326441,9,13,Medium,Manufacturing,Low
102973,10,7,Medium,Retail,Low
362829,7,6,Low,Education,Low
115582,13,10,High,Healthcare,Medium
282710,10,4,Medium,AI,Low
651640,5,5,Critical,Cybersecurity,Medium
915809,13,19,Low,Cybersecurity,Low
628313,9,22,Low,Retail,Low
416282,16,23,Low,Healthcare,Medium
602248,14,16,Low,Cybersecurity,Low
847006,16,5,Low,Agriculture,Low
737846,6,5,Medium,Logistics,Low
754644,22,21,High,AI,Medium
726410,18,12,Critical,Retail,Low
734836,15,6,Low,Retail,Low
855855,8,16,Critical,E-Commerce,Medium
533914,12,17,Critical,AI,Medium
865054,5,13,Critical,Agriculture,Medium
797416,10,14,Medium,Cybersecurity,Low
170394,4,5,Low,AI,Medium
201255,25,14,Medium,Retail,Medium
162894,20,20,High,Finance,High
530764,13,24,Critical,Healthcare,Medium
401601,21,12,High,Finance,Low
705991,18,9,Medium,Cybersecurity,Low
335137,5,14,High,Finance,Medium
899649,10,21,Medium,AI,Low
986209,19,22,Low,Manufacturing,Low
789786,24,11,Low,Education,Low
386544,24,12,High,Agriculture,Low
106402,7,7,Critical,Finance,High
248766,25,23,Low,Finance,Medium
882354,18,9,Critical,AI,Low
575682,12,8,High,Logistics,Low
856648,12,21,Low,Healthcare,Low
263137,7,22,Low,Finance,High
385320,16,24,Critical,Cybersecurity,High
736565,16,16,High,E-Commerce,Low
891615,18,6,High,AI,Low
216276,11,24,Critical,Retail,High
799539,11,4,Medium,AI,Low
728437,3,3,Medium,Logistics,Low
321494,6,11,High,Agriculture,Medium
225812,2,18,Critical,Education,High
235461,14,20,Medium,Retail,Medium
685864,23,14,Low,AI,Low
878086,3,16,Low,Cybersecurity,Medium
181644,12,21,Critical,Manufacturing,High
524068,24,23,Critical,Logistics,Medium
220768,14,3,High,Education,Medium
940247,21,17,High,Finance,Low
557925,5,10,Critical,Manufacturing,Medium
519902,18,5,Critical,Logistics,Low
882033,12,10,High,Education,Low
180089,18,23,Low,Retail,Medium
634723,8,14,High,Education,Low
347745,5,7,High,E-Commerce,Medium
281926,21,7,Low,Education,Low
910389,22,18,Critical,Manufacturing,Medium
896788,20,17,High,Agriculture,Low
258290,16,5,Critical,Cybersecurity,Medium
762055,11,11,Low,Agriculture,Low
631981,4,12,Critical,Cybersecurity,Medium
139434,3,14,High,Finance,High
775981,4,22,Critical,Cybersecurity,High
708519,19,4,Critical,Manufacturing,Low
783501,8,13,Critical,Retail,Medium
258189,3,17,Low,Agriculture,High
849014,4,19,Medium,Healthcare,Medium
359778,24,17,Critical,Retail,Medium
648141,21,8,High,Agriculture,Low
396635,14,16,High,Manufacturing,Medium
154909,22,23,High,Finance,High
445705,5,20,Critical,Logistics,High
364236,25,24,Medium,Agriculture,Medium
185461,20,24,Medium,Agriculture,Medium
425301,22,24,Critical,Education,High
723945,24,5,High,Retail,Low
494976,22,13,Medium,Retail,Low
197992,22,24,Critical,Retail,High
479404,2,14,High,Education,High
324597,12,18,Medium,E-Commerce,Low
244247,6,5,High,Finance,Medium
632351,19,19,Low,Agriculture,Low
903531,21,7,Critical,Education,Low
270128,7,22,Medium,Cybersecurity,High
145814,15,14,Medium,Cybersecurity,Medium
740255,11,17,Medium,Retail,Low
350786,11,18,Medium,Agriculture,Low
811256,20,17,Critical,Logistics,Medium
915922,14,19,Critical,Education,Medium
956572,8,22,Medium,Logistics,Low
154714,22,18,High,Retail,Medium
207573,24,19,Low,Logistics,Medium
187949,7,11,Critical,Retail,High
254506,15,5,Medium,Cybersecurity,Low
466566,2,16,Low,AI,Medium
626392,13,10,Critical,Finance,Low
493124,9,3,High,Finance,Low
979940,24,23,High,Education,Medium
244283,3,12,Critical,Education,High
895702,24,18,Critical,Manufacturing,Medium
105506,4,3,High,E-Commerce,High
975522,6,20,Critical,Finance,High
913875,11,10,High,Finance,Low
150068,9,16,Critical,Finance,High
216242,17,22,Low,Retail,Medium
702980,9,7,High,AI,Low
101640,21,14,Medium,Manufacturing,Medium
536802,7,24,Low,Retail,Medium
478120,4,19,Low,AI,High
592972,3,23,Critical,Agriculture,High
365971,25,3,High,Finance,Low
461551,9,24,Low,Manufacturing,Medium
870899,12,7,Low,Agriculture,Low
672536,12,23,Medium,Cybersecurity,Low
829168,17,23,Medium,Education,Low
166165,24,17,Low,Logistics,Medium
311383,3,9,Low,Agriculture,Medium
425138,18,15,Critical,Logistics,Medium
138399,22,9,High,Agriculture,Medium
918771,3,23,High,Logistics,High
230521,13,16,Critical,Cybersecurity,High
505426,12,8,Critical,Cybersecurity,Low
485191,18,11,Low,AI,Low
182760,15,22,Medium,Retail,Medium
408036,12,6,Low,Agriculture,Low
793024,11,12,Critical,Manufacturing,Low
852524,15,8,Critical,Agriculture,Low
568849,3,14,Critical,Logistics,High
770532,3,5,Critical,Agriculture,Medium
638009,25,24,Medium,Healthcare,Low
249715,21,24,Critical,Healthcare,High
232361,4,10,High,Agriculture,High
501451,20,4,Medium,Cybersecurity,Low
488984,13,17,Low,Manufacturing,Low
244383,18,14,Critical,Agriculture,High
781113,10,10,Low,Healthcare,Low
871411,7,18,Critical,Retail,Medium
223481,10,11,Critical,E-Commerce,Medium
741599,11,18,Medium,Finance,Low
242321,4,17,Medium,Cybersecurity,High
192055,23,13,High,Finance,Medium
676713,19,12,High,Education,Low
846385,24,23,Medium,Agriculture,Low
633469,9,6,Medium,Education,Low
348235,17,3,High,Retail,Low
700076,13,17,Medium,Manufacturing,Low
190403,4,12,Critical,Cybersecurity,High
651231,15,16,Low,Education,Low
432427,22,5,Critical,Cybersecurity,Medium
813145,18,14,Medium,Retail,Low
770872,20,8,Medium,AI,Low
627290,3,6,Medium,Logistics,Low
272655,7,13,Medium,Agriculture,Medium
644103,11,5,High,E-Commerce,Low
765905,19,11,Medium,Logistics,Low
744274,19,5,Medium,Manufacturing,Low
708851,6,8,High,Manufacturing,Low
143195,2,5,Low,Manufacturing,Medium
377511,22,9,Critical,Manufacturing,Medium
770030,2,18,High,Logistics,Medium
606404,9,24,Critical,Logistics,Medium
575575,4,4,Medium,Cybersecurity,Low
535810,17,17,Medium,Agriculture,Low
736129,6,13,High,Agriculture,Medium
518084,6,14,Low,Agriculture,Low
353480,16,6,High,Cybersecurity,Low
359961,6,6,Low,Logistics,Low
502810,21,16,Medium,Education,Low
952993,12,21,High,E-Commerce,Medium
900190,7,18,Critical,Cybersecurity,Medium
423528,17,3,Low,AI,Low
629996,16,10,Medium,Manufacturing,Low
470037,3,4,High,Cybersecurity,Medium
726543,22,24,Critical,Logistics,Medium
662761,2,6,Critical,Education,Medium
377319,25,14,Critical,Agriculture,Medium
147440,14,4,Medium,Agriculture,Low
680096,11,5,Critical,Retail,Low
572230,19,11,Low,Education,Low
201377,14,14,High,Retail,Medium
483366,6,9,Critical,Retail,Medium
142210,3,4,Medium,Agriculture,Medium
943019,17,19,Critical,Education,Medium
735710,18,7,High,Manufacturing,Low
434002,7,15,High,Manufacturing,Medium
452713,18,19,Critical,Manufacturing,High
414353,17,3,High,Agriculture,Low
806537,5,16,High,Healthcare,Medium
725905,17,11,Medium,Healthcare,Low
711868,17,8,Critical,Education,Low
961574,23,10,Low,Manufacturing,Low
834549,5,9,Low,Cybersecurity,Low
428930,15,7,Critical,E-Commerce,Medium
530311,18,22,Critical,Healthcare,Medium
840058,6,19,Medium,Retail,Medium
440839,23,18,Critical,Agriculture,Medium
281594,16,20,High,Retail,High
471496,23,24,High,Manufacturing,Medium
607699,8,10,High,Retail,Low
412999,9,12,High,E-Commerce,Low
823769,24,18,High,Cybersecurity,Low
465746,19,11,High,Finance,Low
701334,23,20,Critical,AI,Medium
958130,13,7,High,Healthcare,Low
401602,24,5,High,Cybersecurity,Low
787836,10,18,Medium,E-Commerce,Low
968170,19,11,High,Education,Low
214532,21,21,Medium,E-Commerce,Medium
153231,23,19,Medium,E-Commerce,Medium
155040,5,16,High,Cybersecurity,High
205428,23,7,Low,Retail,Low
265613,15,23,Critical,Cybersecurity,High
782139,8,12,High,Logistics,Low
777273,3,5,Medium,Retail,Low
874568,25,4,Medium,AI,Low
978292,7,4,Critical,Cybersecurity,Medium
295361,25,12,Low,Healthcare,Low
412886,20,22,Low,Agriculture,Medium
398384,16,23,Critical,Education,High
992400,18,17,High,E-Commerce,Low
948102,5,13,Medium,Cybersecurity,Low
779776,10,8,Low,Agriculture,Low
929179,11,21,Medium,Education,Low
740632,22,15,Critical,Retail,Medium
443856,4,15,Low,Education,Medium
247442,17,13,Medium,Healthcare,Medium
373453,14,10,Critical,Logistics,Medium
445637,11,21,Low,Logistics,Medium
785436,13,10,Low,Finance,Low
588002,11,8,Critical,Retail,Low
837733,11,6,High,Agriculture,Low
744481,9,10,Medium,Cybersecurity,Low
260626,16,22,High,AI,High
836038,19,18,Medium,E-Commerce,Low
813390,21,5,Critical,Retail,Low
837952,13,5,Low,Healthcare,Low
969032,19,19,Medium,Manufacturing,Low
662728,6,8,High,Retail,Low
563303,5,24,Medium,Manufacturing,Medium
612573,4,19,Critical,Healthcare,High
575458,6,19,Critical,Cybersecurity,High
691303,3,20,Critical,Logistics,High
858414,2,15,High,Healthcare,Medium
882032,8,21,Low,Healthcare,Low
544278,13,5,Low,Finance,Low
595002,3,12,Critical,Education,Medium
906325,6,23,Critical,Agriculture,High
501058,16,15,Critical,Finance,Medium
815894,23,20,Medium,Agriculture,Low
224395,7,20,Critical,Retail,High
233533,25,10,Low,Healthcare,Low
412856,16,24,Critical,Retail,High
497700,9,10,Critical,Agriculture,Medium
262656,10,9,Low,Healthcare,Low
948799,23,16,Low,E-Commerce,Low
316092,4,6,Low,Cybersecurity,Medium
726822,23,4,Medium,Healthcare,Low
521805,16,10,Medium,Healthcare,Low
246942,18,12,Medium,Manufacturing,Low
434394,20,22,High,E-Commerce,Medium
416422,6,24,Medium,AI,Medium
415098,10,4,Medium,AI,Low
682851,17,4,High,AI,Low
923975,18,13,Critical,AI,Medium
256466,11,15,Medium,Retail,Medium
596520,9,10,High,Education,Low
944917,16,4,Critical,AI,Low
684357,18,7,Critical,E-Commerce,Low
367382,8,13,Low,Cybersecurity,Low
988283,13,5,Medium,Healthcare,Low
381502,14,24,Low,Finance,Medium
297303,20,24,Medium,Cybersecurity,Medium
319036,12,12,Low,E-Commerce,Low
299254,25,6,Critical,E-Commerce,Medium
829417,21,9,Critical,E-Commerce,Low
678897,12,12,Critical,Cybersecurity,Low
659572,22,14,High,Logistics,Low
477114,18,18,Critical,Finance,Medium
941814,25,18,High,E-Commerce,Low
488712,12,16,Low,Manufacturing,Low
332022,25,7,Low,Logistics,Low
680189,20,21,Critical,Logistics,Medium
259814,8,13,Medium,AI,Medium
697467,9,18,High,Logistics,Low
900441,17,23,Critical,Cybersecurity,Medium
276405,25,14,Medium,Education,Medium
855303,19,18,Medium,Retail,Low
772985,3,19,Low,Finance,Medium
957730,23,4,Low,AI,Low
244170,22,10,Low,Education,Low
109585,8,19,Critical,Agriculture,High
163386,21,23,Critical,Cybersecurity,High
116495,2,20,Critical,Healthcare,High
117538,18,11,High,Healthcare,Medium
626611,24,24,Critical,Education,Medium
212214,5,19,Medium,E-Commerce,High
301255,21,19,High,Agriculture,Medium
380310,14,5,High,AI,Low
581294,20,10,Medium,Logistics,Low
817269,4,23,Low,Finance,Medium
524965,14,15,Critical,Healthcare,Medium
767678,2,8,Low,Cybersecurity,Low
986392,15,23,High,Manufacturing,Medium
999636,5,19,Low,E-Commerce,Medium
321686,24,21,Critical,Logistics,High
148823,4,24,High,Retail,High
690882,23,4,Medium,Agriculture,Low
116418,8,21,Medium,AI,Medium
180674,11,8,Medium,Manufacturing,Low
975194,14,24,High,AI,Medium
892313,25,7,Low,Retail,Low
881667,13,4,Low,AI,Low
343420,4,13,Critical,Agriculture,High
131064,22,11,Critical,Cybersecurity,Medium
339220,13,20,Critical,AI,High
294760,23,21,Critical,Finance,High
909676,21,12,Medium,Finance,Low
186023,10,7,Critical,Education,Medium
875584,14,13,High,Finance,Low
195966,2,12,Critical,Agriculture,High
898329,10,6,Medium,Finance,Low
296494,15,17,Critical,Finance,High
127537,4,14,Low,Manufacturing,High
727094,12,15,Low,Logistics,Low
533911,14,5,Medium,Manufacturing,Low
646417,7,24,Critical,Education,High
245584,10,12,High,Cybersecurity,Medium
253023,4,8,Critical,Logistics,High
541557,11,18,Low,Agriculture,Low
363926,9,23,Critical,Manufacturing,High
746624,8,17,Low,Education,Low
419457,2,15,High,Manufacturing,High
498343,12,17,High,AI,Medium
955088,22,22,Medium,Logistics,Low
436241,21,9,Critical,Agriculture,Medium
286266,14,13,High,Cybersecurity,Medium
703853,9,13,Critical,Logistics,Medium
956156,14,14,Low,Manufacturing,Low
309505,20,20,Medium,Retail,Medium
128223,25,17,Medium,Cybersecurity,Medium
936433,11,5,Critical,Cybersecurity,Low
245939,22,12,Medium,Logistics,Low
790658,6,16,Critical,Finance,Medium
570880,21,18,Critical,Retail,Medium
631221,24,16,Low,Agriculture,Low
835716,19,22,Low,Finance,Low
906306,9,24,High,Education,Medium
778428,21,4,Critical,Agriculture,Low
934908,15,6,Low,Finance,Low
371306,9,19,Medium,Cybersecurity,Medium
492292,14,17,Medium,Agriculture,Low
125755,17,6,High,AI,Medium
190025,5,7,High,Logistics,Medium
459731,16,9,Critical,Agriculture,Medium
599292,5,17,Critical,Agriculture,Medium
170437,11,4,Low,Healthcare,Low
990429,12,23,Low,Education,Low
876459,9,19,Medium,Retail,Low
267914,12,20,Critical,Cybersecurity,High
343118,14,23,Medium,Education,Medium
771590,23,16,Critical,Healthcare,Medium
873207,21,9,Critical,Manufacturing,Low
550418,14,3,Medium,E-Commerce,Low
391865,24,5,Low,Retail,Low
296041,13,13,Medium,Cybersecurity,Medium
219490,10,24,Critical,Retail,High
770153,12,22,Critical,Manufacturing,Medium
511612,20,6,High,Agriculture,Low
986589,16,22,Medium,Logistics,Low
744333,20,5,Medium,Agriculture,Low
223586,9,12,Low,Education,Low
491439,24,7,Critical,AI,Medium
725397,6,21,Critical,AI,High
294776,17,23,Medium,Retail,Medium
274971,17,12,Medium,Education,Low
429861,16,22,Low,Agriculture,Medium
110048,17,7,Medium,AI,Low
688861,18,23,Critical,AI,Medium
817956,17,16,Critical,Cybersecurity,Medium
275377,4,21,Low,E-Commerce,High
406278,3,11,Medium,Retail,Medium
402692,7,17,Critical,Retail,High
635618,5,21,Low,Logistics,Medium
912764,19,14,Low,Cybersecurity,Low
672892,8,16,Low,E-Commerce,Low
412170,3,17,High,Agriculture,High
956401,4,17,Low,E-Commerce,Medium
320073,25,21,High,Manufacturing,Medium
763508,15,8,Medium,E-Commerce,Low
953047,8,4,High,Retail,Low
394739,21,20,Medium,Agriculture,Medium
838253,11,12,High,Retail,Low
812296,5,7,Critical,Healthcare,Medium
390794,22,7,Medium,E-Commerce,Low
253347,24,13,Medium,AI,Medium
613234,6,21,High,AI,Medium
493396,16,5,Low,AI,Low
640659,25,11,High,Cybersecurity,Low
611751,12,21,Low,Finance,Low
866437,16,23,High,Finance,Medium
934328,19,15,Medium,AI,Low
964915,8,18,High,Agriculture,Low
968581,11,13,Medium,Manufacturing,Low
993829,17,13,Low,Healthcare,Low
204411,22,17,Low,Finance,Medium
999312,7,17,Critical,Healthcare,Medium
548580,8,7,High,Education,Low
387330,4,23,High,Logistics,High
186424,13,24,Medium,Healthcare,Medium
515594,22,12,Medium,AI,Low
787326,4,6,Low,E-Commerce,Low
599968,4,7,Medium,Retail,Low
813013,16,3,Low,Agriculture,Low
956800,5,16,Medium,Cybersecurity,Low
174268,9,15,Low,Finance,Medium
208214,12,14,High,Education,Medium
501312,6,23,Medium,Finance,Medium
656278,20,3,Medium,Cybersecurity,Low
468247,25,9,Medium,AI,Low
746002,23,17,Medium,Finance,Low
205345,6,6,Critical,Agriculture,High
550246,12,7,Medium,Logistics,Low
775933,4,10,High,Healthcare,Medium
989079,23,12,Medium,Retail,Low
736408,18,9,Critical,Logistics,Low
777558,3,10,Critical,AI,Medium
218220,9,18,Low,Retail,Medium
112653,13,13,Medium,AI,Medium
979727,20,16,High,Retail,Low
816116,7,18,Low,Healthcare,Low
715895,4,3,High,E-Commerce,Medium
141761,3,15,High,Retail,High
904373,15,16,Critical,Finance,Medium
771652,19,20,Medium,Logistics,Low
187657,11,5,Medium,Education,Low
662445,12,15,Low,Logistics,Low
832614,15,10,Low,E-Commerce,Low
190400,15,6,Critical,Manufacturing,Medium
738407,3,12,Medium,Finance,Low
113280,24,7,Low,Education,Low
620526,13,19,High,Education,Medium
489933,6,11,Low,Healthcare,Low
451284,15,11,Low,Logistics,Low
846925,20,23,Low,Cybersecurity,Low
577309,18,14,Low,Cybersecurity,Low
694423,7,14,Medium,Logistics,Low
910894,5,21,Low,E-Commerce,Medium
876764,18,3,Low,Healthcare,Low
356430,3,18,High,AI,High
257375,7,4,Critical,E-Commerce,High
437433,9,16,High,Logistics,Medium
966120,4,21,High,Finance,High
626428,23,4,Medium,E-Commerce,Low
943409,18,4,Critical,Finance,Low
587686,11,12,High,Finance,Low
679958,16,3,High,E-Commerce,Low
405759,20,12,Medium,Cybersecurity,Low
486162,20,18,Medium,Retail,Low
897423,9,7,Low,AI,Low
125071,9,20,High,Healthcare,High
451291,2,24,Critical,Logistics,High
208998,8,19,Medium,AI,Medium
615929,3,7,High,Finance,Medium
146032,9,19,Critical,Agriculture,High
580728,25,5,Low,Retail,Low
239999,22,15,Low,Manufacturing,Medium
695403,3,16,Medium,E-Commerce,Medium
405844,10,13,Critical,Agriculture,Medium
433507,16,11,Medium,Finance,Low
312559,6,21,Low,Education,Medium
210790,7,17,Critical,Agriculture,High
526259,5,20,High,E-Commerce,Medium
